ID,score
1,4
2,6
3,6
4,5
5,4
6,5
7,5
8,4
9,5
10,6
11,5
12,7
13,3
14,5
15,4
16,4
17,3
18,9
19,6
20,5
21,8
22,9
23,6
24,3
25,5
26,9
27,4
28,6
29,4
30,5
31,9
32,9
33,8
34,5
35,4
36,5
37,5
38,3
39,8
40,6
41,5
42,4
43,8
44,4
45,5
46,6
47,4
48,4
49,5
50,7
51,6
52,4
53,5
54,4
55,4
56,6
57,9
58,3
59,6
60,9
61,6
62,6
63,8
64,4
65,3
66,6
67,6
68,4
69,4
70,6
71,6
72,3
73,5
74,5
75,5
76,4
77,6
78,5
79,9
80,6
81,6
82,5
83,9
84,5
85,7
86,6
87,8
88,5
89,5
90,6
91,9
92,4
93,7
94,8
95,5
96,3
97,6
98,9
99,6
100,5
101,6
102,5
103,9
104,5
105,5
106,7
107,4
108,3
109,4
110,8
111,9
112,9
113,5
114,4
115,9
116,4
117,5
118,3
119,4
120,9
121,4
122,8
123,7
124,9
125,3
126,5
127,4
128,6
129,5
130,5
131,5
132,5
133,9
134,5
135,5
136,5
137,5
138,5
139,6
140,6
141,4
142,6
143,5
144,8
145,6
146,4
147,6
148,5
149,9
150,5
151,6
152,5
153,8
154,9
155,9
156,5
157,3
158,3
159,9
160,4
161,5
162,5
163,8
164,9
165,8
166,4
167,5
168,4
169,5
170,9
171,9
172,5
173,4
174,4
175,6
176,5
177,4
178,5
179,8
180,6
181,9
182,4
183,6
184,4
185,5
186,4
187,4
188,5
189,6
190,6
191,4
192,6
193,8
194,4
195,8
196,8
197,4
198,5
199,9
200,2
201,5
202,8
203,8
204,8
205,7
206,6
207,5
208,5
209,9
210,5
211,8
212,9
213,5
214,8
215,4
216,6
217,9
218,9
219,8
220,9
221,3
222,3
223,6
224,6
225,6
226,6
227,6
228,9
229,6
230,3
231,4
232,8
233,5
234,3
235,7
236,9
237,9
238,5
239,5
240,5
241,9
242,5
243,8
244,6
245,5
246,5
247,5
248,6
249,6
250,5
251,4
